,
one,89
of,3793
the,4719
key,35
issues,24
facing,3
public,54
healthcare,46
is,670
global,32
trend,7
an,415
,16610
increasingly,12
ageing,25
society,19
which,181
continues,3
to,2271
present,50
policy,11
makers,2
and,4078
caregivers,28
with,1330
formidable,1
socioeconomic,8
challenges,16
primary,46
contributor,1
a,1753
broad,8
spectrum,5
chronic,56
disorders,81
all,122
associated,209
lower,55
quality,48
life,73
in,1940
elderly,234
chinese,29
population,130
constituted,4
world,16
million,13
citizens,2
aged,75
above,24
or,368
china,28
has,137
become,12
as,541
it,148
age,307
will,94
continue,4
exacerbate,1
burden,29
borne,1
by,405
current,47
family,31
systems,37
major,40
involved,14
caring,3
for,1239
include,18
management,29
noncommunicable,1
diseases,60
cncds,1
physical,82
frailty,50
neurodegenerative,32
cardiovascular,20
emerging,11
such,122
providing,18
sufficient,7
dental,2
care,130
combating,1
rising,4
prevalence,39
sexually,1
transmitted,2
among,179
nursing,23
home,39
communities,9
support,138
increased,71
incidences,2
immune,5
growing,17
necessity,5
provide,73
palliative,2
at,275
governmental,1
level,69
necessary,9
make,12
longterm,26
strategic,1
plans,10
respond,1
pressures,2
especially,26
establish,16
nationwide,4
affordable,4
annual,7
health,483
check,2
system,92
facilitate,18
early,194
diagnosis,169
access,16
treatments,10
begun,2
work,42
on,530
several,41
activities,66
address,22
these,187
including,114
recent,36
completion,1
tenyear,1
reform,1
project,13
implementation,13
healthy,99
action,5
plan,8
opening,3
national,31
clinical,257
research,106
center,18
geriatric,48
there,75
are,347
also,110
societal,4
namely,12
shift,7
from,561
extended,4
younger,25
their,173
members,11
young,18
people,152
migrating,1
towards,9
cities,1
increasing,30
reliance,1
homes,6
compensate,1
following,32
outcomes,72
child,3
emptynest,1
phenomenon,5
individual,46
important,106
avenues,4
seek,3
improve,71
own,7
knowledge,28
disease,275
encourage,3
them,34
medical,87
checkups,1
preventmanage,1
illness,18
find,7
ways,4
promote,7
modifiable,13
healthrelated,4
behaviors,26
social,118
activity,44
exercise,11
diets,1
reasonable,6
diet,3
supplements,1
enable,12
healthier,1
happier,1
longer,7
more,177
productive,1
lives,5
finally,24
technological,6
treatment,109
focus,14
modern,6
technologies,30
counteract,1
negative,35
effects,37
researchers,17
striving,1
produce,3
drugs,20
that,604
can,220
mimic,5
exercising,1
eating,5
less,42
while,71
other,113
antiageing,1
molecules,4
molecular,5
gerontologists,2
could,110
help,62
healthspan,1
machine,486
learning,499
big,16
data,505
novel,40
be,362
used,347
monitor,15
patterns,72
may,168
inform,9
design,53
future,80
collectively,1
synergies,2
across,42
disciplines,1
policies,3
drug,24
development,70
personal,11
awareness,15
use,252
personalized,26
medicine,30
transform,3
into,97
country,2
enables,3
most,159
its,88
maximizing,1
celebrating,1
longevity,3
coming,2
decades,4
this,546
nd,1
edition,3
review,32
paper,40
background,133
identifying,48
cognitive,518
impairment,186
enough,3
timely,16
intervention,46
hinder,1
delay,7
trajectory,14
thus,32
chances,1
successful,2
aging,77
objective,111
we,623
aimed,53
build,9
prediction,169
model,491
based,199
communitydwelling,26
normal,53
cognition,38
methods,275
prospective,20
cohort,81
older,447
longitudinal,64
survey,48
clhls,2
register,3
followed,32
between,220
was,690
develop,68
validate,21
participants,203
were,806
included,133
if,29
they,48
years,228
had,116
minimental,18
state,36
examination,31
mmse,34
score,117
excluded,8
diagnosed,26
severe,35
eg,38
cancer,37
dementia,632
living,65
institutions,4
identified,115
using,481
version,17
algorithms,119
random,98
forest,87
xgboost,24
nave,5
bayes,12
logistic,80
regression,149
assess,48
year,66
risk,386
developing,34
optimal,11
cutoffs,1
adjusted,10
parameters,26
explored,16
validation,50
further,63
evaluated,59
test,145
nomogram,5
established,24
vividly,1
results,346
mean,95
sd,31
female,44
during,95
followup,38
features,219
four,50
selected,44
instrumental,5
daily,61
marital,6
status,92
baseline,72
function,81
concordance,3
index,52
constructed,21
ci,138
functioning,14
having,25
than,119
considered,21
have,206
low,60
those,81
greater,41
high,116
conclusions,112
simple,25
feasible,6
identify,191
greatest,9
community,47
nurses,5
identification,56
decline,95
gradual,2
